Overall Experience-Value,Overall Comment,FeedbackCategory,Subcategory
1,I still have not received my book box from an order placed on 9/30,Shipping/Delivery,Delayed/Never Received Order
4,Books are continually arriving damaged because of packaging. Scholastic reps are extremely helpful.,Shipping/Delivery,Damaged Item
3,Hide accounts not set up to prevent my issue in the future,All Other,All Other
5,No Comment,No Comment,No Comment
2,I was asking about a reader review on a book a was planning to order that said large parts were blacked out and wanted to see what that meant. I did not feel the representative understood or cared to understand my question. He/she was giving me answers like the author's name and price. Worst of all the call was termimnated by the rep before I was able to confirm/deny that I had received the information I sought.,Customer Service,CS Experience
4,No Comment,No Comment,No Comment
1,You had a package delivered to a school on a Saturday and I do not have the order.  Order #70864379.,Shipping/Delivery,Delivery Attempt After Hours
4,Great,Thanks/Praise,Thanks/Praise
5,quick response and I got what was needed :),Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,I'm very happy with the response from Scholastic about a wrong item being sent to me for a student order.  The representative is sending the correct item out to me.  Thank you!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,"The only reason I needed to do a live chat to solve my problem was because the phone representatives would not help one of my parents with their issue, and when I had emailed for assistance, I never heard a reply in over 2 weeks from the company.  If those forms of customer service would have worked I would have been much happier, but I have no complaints about the live chat service I received today. This was the third attempt at resolution for an issue - both the parent and myself had already made contact via phone and via email and received no response from your company. It took waiting in a live chat queue to get any assistance.",Customer Service,No Response from CS
3,"make submitting orders much easier.   When you submit orders your should not have to do it again.  It makes it look like you are paying twice and I still think I did.     When students order, the teacher should not have to resubmit either, parents have already paid for it ...that two looks and maybe they are  paying twice.  Your webiste it confusing on ordering books.",Possible Tech Issue/TRF,Adding Items to Cart
5,No Comment,No Comment,No Comment
1,I am a teacher. I use a state issued funds card for purchases. The state requires us to make tax free purchases. Scholastic customer service said I could make a purchase then call to get a refund if I was eligible for tax free. Refunds get complicated and tie up funds I could be using for other purchases. It would be nice to submit tax documentation before a purchase was made.,Account Balance/Payment,Tax
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
2,One of my students received books he didn’t order and then received no books for what he did order and the representative told me that I should just have him ship all of the books back to her she would refund the money and then re-order and I do not think that seems like a very easy thing to do or very convenient,Shipping/Delivery,Item Missing
5,No Comment,No Comment,No Comment
2,i began with 1293 points then after placing a $100 order with a 5x multiplier and a coupon for 300 extra points i had less than i began with.,Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,"The costumer service is wonderful! I had to use the chat services to get a book that was not in my order. The chat was short, sweet, and super easy to use. The provider sent me the additional book. Thank you for this service and timelyness of helping with the book order.",Thanks/Praise,Thanks/Praise
1,Thank you so much for the prompt response and quick resolution to this issue!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
1,"Bought a book online.  Realized son already had it.  Contacted scholastic and said it was no problem to refund.  Just mail back with information.  Over a year later I still have not received a refund.  My son loves when the book fair comes to the school, but this process has left me frustrated.",Account Balance/Payment,Account Balance/Payment
5,No Comment,No Comment,No Comment
4,Navigating the bonus catalog online was challenging.,All Other,Performance/Navigation/General
3,Solved my problem,Thanks/Praise,Thanks/Praise
1,"first, I'm not a complainer.  its unusual for me to give a negative reply.  Several times i wrote ""I am a Teacher.  Wondered if there's a physical address a student can mail an order and check or if its only done online?""  Never got an answer.   plus, i looked on the form and your site.  Would love an answer either way so I can tell students and parents.    Thanks!  Ms Blythe",Customer Service,No Response from CS
5,No Comment,No Comment,No Comment
1,"I was given a number to call about an outstanding balance asking me to provide check #, routing number and date it cleared. I will provide this for my check but I don't have the time to contact parents.",Account Balance/Payment,Account Balance/Payment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,The representative was very helpful and was able to solve my problem quickly.  I am very happy with the Live Chat option and my experience.,Thanks/Praise,Thanks/Praise
5,There was a problem with a code and it was handled right away....thank you!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
1,I contacted your chat because parents were complaining that the book order was taking too long. I checked the status and it said that UPS attempted to deliver but the location was closed. I had the shipment sent to a school. I asked the representative could reach out to UPS and ask them to deliver it during school hours or put a note on my account for it.  She said that I had to call UPS to tell them that. I explained that I am a teacher and I don't have the opportunity during they day with my 40 minute prep and 30 minute lunch.,Shipping/Delivery,Delivery Attempt After Hours
5,The Live Chat feature was very efficient!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,No Comment,No Comment,No Comment
2,My account showed a balance after sending in 2 checks that didn’t clear for 3 weeks.,Account Balance/Payment,Account Balance/Payment
4,Maybe have clear guidelines as to why tax is now being seen on the check out screen.,Account Balance/Payment,Tax
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,"I have yet to be credited my 120 dollars to the campaign cares, yet you received them over 2 weeks ago.  I am hugely disappointed by this.",Account Balance/Payment,Account Balance/Payment
5,No Comment,No Comment,No Comment
1,Information on how and where to enter parent emails for a mass email with information on how to order online with class code,Connecting Teacher/Class Code,Connecting Teacher/Class Code
5,No Comment,No Comment,No Comment
5,I wasn't pleasantly surprised on how fast my order arrived.  Last year was a disaster to which I stopped ordering.  I figured I'd give it one try this year to test the waters.  I will definitely keep ordering for this school year!,Thanks/Praise,Thanks/Praise
3,"In this particular case, being a parent and trying to order for a school that is not correctly register with scholastic is frustrating. The single teacher registered at my daughter school no longer works there. The school tried to register this past Friday but there is an error of communicating and the school was given the code for the teacher that no longer works there. I am surprised that no one from Scholastic has reached out to the school in efforts to get the them updated. I value Scholastic and would like to see their books available at the school. Please call The Learning Experience in Holly Springs, NC and get the school registered for Scholastic Books. (919) 557-3085. I was a stay at home educator and now have placed my daughter in school for socialization. I believe in Scholastic Books! Please come to Holly Springs NC!!!",Connecting Teacher/Class Code,Connecting Teacher/Class Code
5,No Comment,No Comment,No Comment
5,"Quick response, answered my question, gave me actionable next steps",Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,"Every time I contact Scholastic, I receive superior customer service.  Thank you!",Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
1,I ordered a book and didn’t receive it. I wasn’t charged for it but we did want the book. I wanted to know why it wasn’t included in the order/charges when it is clearly on my original order number and email. They representatives seems to not be able to find any evidence that it was ordered. How does it just disappear when it’s on the original receipt?,Shipping/Delivery,Item Missing
2,"I put in an order and accidentally forgot a book. Within 10 minutes of placing the order, I contacted customer service and asked if I could cancel the order and was told no and the excuse was that the online orders would be lost and that my option was to do a new order. So I had to start a new order and then pay a ridiculous amount of shipping for one book. In this day and age, an order should be able to be cancelled or another item added an order so that customers don't pay a ridiculous amount of shipping for their students. I realize that it was my mistake, but I was quick to realize it and tried to remedy it as soon as I noticed.",Connecting Teacher/Class Code,Connecting Teacher/Class Code
5,No Comment,No Comment,No Comment
1,I ordered a book series through my school and you delivered two copied of book 5 and no book 4. I was told we have to return all 5 books to the teacher to get a refund or a new book. I expect that if an error is made by Scholasitc they will make it right without further effort on my part. Not ordering again until you make it right.,Shipping/Delivery,Item Missing
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,My problem was professionally and quickly resolved. Thank you.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
3,"I think maybe the order that needs to be resolved needs a notice mentioned ""issue resolved."" I'm not even sure how my issue was resolved because I had responses from several customer service representatives with various responses.",Customer Service,CS Experience
3,"I wanted to know where /when you’d have packs of books 10 books for $10, like you had in the spring. The agent couldn’t really help me at all. Wanting to get my students several books for Christmas.",Price,Price
3,"I wanted to know where /when you’d have packs of books 10 books for $10, like you had in the spring. The agent couldn’t really help me at all. Wanting to get my students several books for Christmas.",Customer Service,CS Experience
5,The reply was very quick and they fixed my issue right away!,Thanks/Praise,Thanks/Praise
2,No Comment,No Comment,No Comment
1,I submitted my order on Sept. 30th. When I checked later it was still in my cart.  So then I lost points and promotions because Oct. was not as good as Sept. I didn't even receive Sept flyers to send out to my parents  so that is why I was trying to put in the oct. early.  I have received the oct. flyers three times though.  I was told that since I didn't save the email with the confirmation when I ordered I lose out and basically can't do anything to help me. Issues I had last year are the reason I didn't submit orders each month like I used to.  I got tired of telling parents that the order had been delayed. I am hoping these problems don't continue and get put back that I was in the wrong or I won't be doing scholastic orders in the future.,Shipping/Delivery,Delayed/Never Received Order
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,I normally order $1.00 books every year for my kids.   They need to be available at anytime not just when you have an order of $75.00 or more.,Price,Price
3,"The information provided to distribute to the students was not enough. When I reached out to customer service,  I was advised that they could not format the required pieces of information we needed.  Since we order for the school as a whole and not by classroom, we need the student name, grade, and teacher.  Without this it is not easy to distribute once they orders come in.",All Other,All Other
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,You have too many websites.,All Other,LOB Confusion
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,The live chat was great and very helpful. I just hope I get the f flyers that I need for my class. This is the second time I have requested more. It is very frustrating not having enough for both of my sections of preK. Thank you!!,Kits,Kits
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Thank you for the great customer service!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
2,"My account wasn’t authorized before I placed an order. So it said that my order was cancelled. When I called, the lady had no idea what she was doing and I didn’t get a straight answer at the end of the call.",Customer Service,CS Experience
5,No Comment,No Comment,No Comment
1,I missed out on a $5 coupon which I was told I was entitled to. Wish I were given the opportunity to use it for this order not for my NEXT order which I don’t know if I’ll even place.,Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
3,"The person who helped me was fine, but my issue is not resolved. My package is over a week late and the person helping me said UPS must have it unless it has been lost in transit. I have received no emails from Scholastic or UPS advising me where to call to find out where my book club order is. Lots of disappointed families in my class sadly. I have a missing book club order.",Shipping/Delivery,Item Missing
3,"The person who helped me was fine, but my issue is not resolved. My package is over a week late and the person helping me said UPS must have it unless it has been lost in transit. I have received no emails from Scholastic or UPS advising me where to call to find out where my book club order is. Lots of disappointed families in my class sadly. I have a missing book club order.",Customer Service,No Response from CS
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Representative was quick to respond and fixed the misunderstanding I had immediately. I have no complaints whatsoever and thank you guys for the great customer service.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Quick and amazing service!,Thanks/Praise,Thanks/Praise
5,"incredibly fast response and resolution, especially considering it's a Saturday!",Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,Hayden was extremely polite and very thorough with answering my questions and solving my issue.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Delivery driver left our scholastic box in the rain and the books were ruined. One phone call with a very kind representative had a new order shipped out and will be delivered in a week. Very satisfied!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
3,"I had to contact scholastic about the missing book in my daughters order. They should have let me know it was on back order, it’s been over a month now",Shipping/Delivery,Item Missing
1,I was charged a shipping fee when I had placed some orders online and thought I had to mail in the paper copy with check. I didn’t understand but didn’t think I should have to pay shipping.,Shipping/Delivery,Shipping Fee
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,"Only that it took a bit long to get a reply but I understand there may be a lot of question to customer service, also after waiting I got a reply from two different people.",Customer Service,Long Wait Times
5,"I truly appreciate getting a prompt response from one of your representative,  Hannah. Thank you very much.",Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,I originally called to find out why it said I had a balance of $58 and in another spot it was saying $4. Then I tried to change my email address and they closed it out and added an email address that didn't exist and now the email is still coming back to my original email that isn't current.,Customer Service,CS Experience
1,I have money on a gift card. But I don’t have access to the gift card to use it. All I want is someone to send me the access to the gift card so that my kids can use it to buy books!,Account Balance/Payment,Account Balance/Payment
5,No Comment,No Comment,No Comment
5,My experience was awesome. The missing book was shipped out.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
2,"Although I did receive responses from customer service, I'm still not sure why I had a balance due when it was not stated on my account.  The balance due shown, was the amount I paid, which showed an online credit I had, yet now I'm being told I am short $1.05--which was my concern/question.  I included a snapshot of what I see on my account and the only response I got back was that I have a balance due of $1.05.  I asked again and was told the same thing--I just wanted to know why it wasn't stated on my account and where did it come from.  I had an online credit for quite awhile so if this recent order was able to have part of that amount credited to my account, why wasn't the $1.05 deducted from my online credit (a rep said it was from a 9/30 order, but I only used points for that order).  It's such a small amount so I just decided to let it go and just pay it with my next order.  It's frustrating to be told I have an outstanding balance and not know where or why it's there.  Thank you for your time and attention to this matter.",Customer Service,CS Experience
2,"Although I did receive responses from customer service, I'm still not sure why I had a balance due when it was not stated on my account.  The balance due shown, was the amount I paid, which showed an online credit I had, yet now I'm being told I am short $1.05--which was my concern/question.  I included a snapshot of what I see on my account and the only response I got back was that I have a balance due of $1.05.  I asked again and was told the same thing--I just wanted to know why it wasn't stated on my account and where did it come from.  I had an online credit for quite awhile so if this recent order was able to have part of that amount credited to my account, why wasn't the $1.05 deducted from my online credit (a rep said it was from a 9/30 order, but I only used points for that order).  It's such a small amount so I just decided to let it go and just pay it with my next order.  It's frustrating to be told I have an outstanding balance and not know where or why it's there.  Thank you for your time and attention to this matter.",Account Balance/Payment,Account Balance/Payment
5,Response to email was really fast and quickly resolved my issue,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,"I try contacting someone on the chat.  I waited a bit, someone came on and a student needed my attention. When I returned a minute later the chat had disconnected. You guys know we are super busy and try to take care of things when we have a moment.  I would have understood if it was 3+ minutes.",Customer Service,CS Experience
5,No Comment,No Comment,No Comment
5,I appreciated the quick response and fix to my problem.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,"Very helpful, responsive...I actually lost contact on my end  before thanking Janice, so please tell her thank you!",Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,Let us know that it would take 4-6 weeks to receive the Target gift card when the order was placed,All Other,All Other
5,No Comment,No Comment,No Comment
5,I appreciate the quick response and resolution to my missing books. Thanks!,Thanks/Praise,Thanks/Praise
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,"I wanted to cancel an order, because I entered it wrong, which I understand it is my fault. It is my first time signing up. I have to reorder the books and spend an additional $25 to order the correct books and to use the special deal of the month. It's the amount of money I need to spend to fix it and vague details that I am unsatisfied about,",Shipping/Delivery,Shipping Fee
1,"I wanted to cancel an order, because I entered it wrong, which I understand it is my fault. It is my first time signing up. I have to reorder the books and spend an additional $25 to order the correct books and to use the special deal of the month. It's the amount of money I need to spend to fix it and vague details that I am unsatisfied about,",Shipping/Delivery,Shipping Fee
5,No Comment,No Comment,No Comment
1,"It was extraordinarily difficult to create and then locate the eWallets.  I have two kids so I had to create two.  I eventually figured out how to do it, but it was nearly impossible to view the created eWallet so I inadvertently created many duplicates.  Please update the page navigation to include a separate link to view eWallets (currently there is only a link to create one).  Please also create functionality to merge duplicates or delete empty ones.   When I first contacted customer service at 7:45am they told me they were completely unable to assist because they did not work on the Book Fair side.  I reached back out after 8am and was able to find someone who gave me a direct link.  Both customer service reps were polite, but neither were able to resolve the issue.  The whole experience was very very frustrating.",Customer Service,CS Experience
1,"It was extraordinarily difficult to create and then locate the eWallets.  I have two kids so I had to create two.  I eventually figured out how to do it, but it was nearly impossible to view the created eWallet so I inadvertently created many duplicates.  Please update the page navigation to include a separate link to view eWallets (currently there is only a link to create one).  Please also create functionality to merge duplicates or delete empty ones.   When I first contacted customer service at 7:45am they told me they were completely unable to assist because they did not work on the Book Fair side.  I reached back out after 8am and was able to find someone who gave me a direct link.  Both customer service reps were polite, but neither were able to resolve the issue.  The whole experience was very very frustrating.",All Other,E-Wallet
1,I can’t afford to pay 6.95 shipping for one book order.,Shipping/Delivery,Shipping Fee
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,No Comment,No Comment,No Comment
5,I was surprised at how fast and easy it was and that I got a person so late at night.  It was wonderful.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,I was so grateful that Scholastic replaced the orders that fell out of the box during shipping.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
2,i pay for my subscription and i don't have access to get resources for teachers and parents,All Other,All Other
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,speedy response. thorough.,Thanks/Praise,Thanks/Praise
5,"I asked to have my name changed.  They said they would get to it right away.  I haven't looked yet to see, but am sure they did it.",Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,I am very happy with the customer service I have received so far. I hope it continues.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,Maybe indicate that before you send in a RFQ (request for quotation) that one must have an account.,All Other,All Other
1,Teacher doesn't belong so I can't order the books,Connecting Teacher/Class Code,Connecting Teacher/Class Code
4,"I used the chat feature and waited quite a while for the agent to reply to my questions. I got what I needed done, but I had to ask if Lisa (I think) was still there. That didn't it right. Like I said two slides ago, it took the agent a while to answer my questions. I was actually worried that I had been disconnected. Plus, at the end of the chat, she just cut me off. Luckily, I didn't have more questions, but it felt really abrupt.",Customer Service,CS Experience
2,"My class size this year is larger than last year so I have went in and edited my profile and requested more flyers but the requested number is not carrying over to the next month. When I asked what to do I was given the same answer of request more flyers, even after I told the representative I had done that and nothing had changed.",Customer Service,CS Experience
2,"My class size this year is larger than last year so I have went in and edited my profile and requested more flyers but the requested number is not carrying over to the next month. When I asked what to do I was given the same answer of request more flyers, even after I told the representative I had done that and nothing had changed.",Kits,Kits
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
3,"The representative got back to me in a timely manner.  Apparently I owe $0.05 from an order from last year (I'm assuming it was a student order).  I was hoping it could  be deleted since it was a student order and I do not want to write a check for 5 cents.  I don't mind having an extra 5 cents charged to my next teacher order if I can figure out how to do that.  Last year I had two inquiries that I never got resolved regarding 1.  A student's order.  I still don't know if the student was charged for a book she never received or not; and 2.  a parent told me she never received a free book.  I sent an email asking about it and never got a reply. I love the deals from Scholastic.  I have been able to add a lot of books to my classroom library.  I'm disappointed in the shipping fee for orders under $25.  It actually doesn't affect me too much because I can't help myself - I order books every month.  But, last year it occurred to me that it is not fair to teachers.  There was one order that I only got a $5.00 order until the last day before the due date.  If the second person hadn't ordered, I would have had to pay $25 or cancel the order all together.  I had a couple of unresolved issues last year that I already mentioned on a different question.  BUT, OVERALL, I LOVE SCHOLASTIC!!",Shipping/Delivery,Shipping Fee
3,"The representative got back to me in a timely manner.  Apparently I owe $0.05 from an order from last year (I'm assuming it was a student order).  I was hoping it could  be deleted since it was a student order and I do not want to write a check for 5 cents.  I don't mind having an extra 5 cents charged to my next teacher order if I can figure out how to do that.  Last year I had two inquiries that I never got resolved regarding 1.  A student's order.  I still don't know if the student was charged for a book she never received or not; and 2.  a parent told me she never received a free book.  I sent an email asking about it and never got a reply. I love the deals from Scholastic.  I have been able to add a lot of books to my classroom library.  I'm disappointed in the shipping fee for orders under $25.  It actually doesn't affect me too much because I can't help myself - I order books every month.  But, last year it occurred to me that it is not fair to teachers.  There was one order that I only got a $5.00 order until the last day before the due date.  If the second person hadn't ordered, I would have had to pay $25 or cancel the order all together.  I had a couple of unresolved issues last year that I already mentioned on a different question.  BUT, OVERALL, I LOVE SCHOLASTIC!!",Customer Service,No Response from CS
